,arm_name,metric_name,mean,sem,trial_index,parameters
44,35_0,objective,3.045,0.0,35,"{'XLE1': 1.75, 'XLE2': 3.0, 'CHORD1_1': 0.3074277162331074, 'CHORD1_2': 0.09, 'CHORD2_1': 0.251094110728012, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3}"
45,36_0,objective,2.264,0.0,36,"{'XLE1': 1.2863765098154545, 'XLE2': 3.0717654794454576, 'CHORD1_1': 0.36893319590017204, 'CHORD1_2': 0.00927322218194604, 'CHORD2_1': 0.36192505257204177, 'CHORD2_2': 0.09794278256595135, 'SSPAN1_2': 0.2566664481535554, 'SSPAN2_2': 0.1493038445711136}"
46,37_0,objective,1.496,0.0,37,"{'XLE1': 1.4291425147093832, 'XLE2': 3.0497104356065394, 'CHORD1_1': 0.1474266443401575, 'CHORD1_2': 0.060938766812905665, 'CHORD2_1': 0.3092942267656327, 'CHORD2_2': 0.10057248221710324, 'SSPAN1_2': 0.15818352866917848, 'SSPAN2_2': 0.10992943700402975}"
47,38_0,objective,3.128,0.0,38,"{'XLE1': 1.25, 'XLE2': 3.0, 'CHORD1_1': 0.29610598350184936, 'CHORD1_2': 0.09, 'CHORD2_1': 0.2484671890302867, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3}"
48,39_0,objective,2.861,0.0,39,"{'XLE1': 1.25, 'XLE2': 3.2, 'CHORD1_1': 0.4, 'CHORD1_2': 0.09, 'CHORD2_1': 0.1666371122576571, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.26388847484978967}"
49,40_0,objective,2.194,0.0,40,"{'XLE1': 1.4159684721380472, 'XLE2': 3.070214451290667, 'CHORD1_1': 0.2634900188073516, 'CHORD1_2': 0.0365025778580457, 'CHORD2_1': 0.118810286000371, 'CHORD2_2': 0.18117534928023815, 'SSPAN1_2': 0.12703014425933362, 'SSPAN2_2': 0.17993577085435392}"
50,41_0,objective,2.52,0.0,41,"{'XLE1': 1.6472679330036044, 'XLE2': 3.106580963730812, 'CHORD1_1': 0.17147589614614844, 'CHORD1_2': 0.08706930812448263, 'CHORD2_1': 0.3551112129352987, 'CHORD2_2': 0.23093052860349417, 'SSPAN1_2': 0.18291840367019177, 'SSPAN2_2': 0.2265629643574357}"
51,42_0,objective,2.099,0.0,42,"{'XLE1': 1.2861506785266101, 'XLE2': 3.05997709967196, 'CHORD1_1': 0.22628742996603252, 'CHORD1_2': 0.04360676382668316, 'CHORD2_1': 0.3332372281700373, 'CHORD2_2': 0.061739786295220256, 'SSPAN1_2': 0.28118308559060096, 'SSPAN2_2': 0.13487924840301274}"
52,43_0,objective,1.996,0.0,43,"{'XLE1': 1.3375889328308403, 'XLE2': 3.052274761907756, 'CHORD1_1': 0.26588381994515664, 'CHORD1_2': 0.00022771979682147502, 'CHORD2_1': 0.38928838903084406, 'CHORD2_2': 0.1166587695479393, 'SSPAN1_2': 0.2908083241432905, 'SSPAN2_2': 0.11688834931701422}"
53,44_0,objective,2.187,0.0,44,"{'XLE1': 1.64936101436615, 'XLE2': 3.002623842842877, 'CHORD1_1': 0.26193806780502205, 'CHORD1_2': 0.07481684675440192, 'CHORD2_1': 0.23985188677906993, 'CHORD2_2': 0.006737955147400498, 'SSPAN1_2': 0.17884031627327204, 'SSPAN2_2': 0.22003059629350902}"
54,45_0,objective,1.856,0.0,45,"{'XLE1': 1.3970479075796902, 'XLE2': 3.0157624639570715, 'CHORD1_1': 0.11463659051805736, 'CHORD1_2': 0.02807334953919053, 'CHORD2_1': 0.3511727483011783, 'CHORD2_2': 0.1906247844453901, 'SSPAN1_2': 0.2911294380202889, 'SSPAN2_2': 0.13698560725897552}"
55,46_0,objective,1.801,0.0,46,"{'XLE1': 1.7434046873822808, 'XLE2': 3.1698792271316054, 'CHORD1_1': 0.31518640909343965, 'CHORD1_2': 0.08842647747136652, 'CHORD2_1': 0.19645890370011332, 'CHORD2_2': 0.0319081989582628, 'SSPAN1_2': 0.1200597057119012, 'SSPAN2_2': 0.187545670196414}"
56,47_0,objective,2.977,0.0,47,"{'XLE1': 1.25, 'XLE2': 3.0, 'CHORD1_1': 0.2872764814649297, 'CHORD1_2': 0.09, 'CHORD2_1': 0.28338568738261205, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3}"
57,48_0,objective,1.693,0.0,48,"{'XLE1': 1.609813223592937, 'XLE2': 3.061563172377646, 'CHORD1_1': 0.2494216254912317, 'CHORD1_2': 0.04803799213841557, 'CHORD2_1': 0.39363703858107335, 'CHORD2_2': 0.20633116690441966, 'SSPAN1_2': 0.12824593391269445, 'SSPAN2_2': 0.14267719332128764}"
58,49_0,objective,2.946,0.0,49,"{'XLE1': 1.25, 'XLE2': 3.0, 'CHORD1_1': 0.2745876171279848, 'CHORD1_2': 0.09, 'CHORD2_1': 0.4, 'CHORD2_2': 0.17746973646364922, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3}"
59,50_0,objective,3.018,0.0,50,"{'XLE1': 1.6576496895465782, 'XLE2': 3.0, 'CHORD1_1': 0.3016822716306278, 'CHORD1_2': 0.09, 'CHORD2_1': 0.2493041676706072, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.28047525570777254}"
