,arm_name ,metric_name ,mean ,sem ,trial_index ,arm_name   ,metric_name   ,mean   ,sem   ,trial_index   ,arm_name,metric_name,mean,sem,trial_index,parameters
34,30_0,objective,2.742,0.0,30,30_0,CD,0.439,0.0,30,30_0,XCP,0.5563414634146341,0.0,30,"{'XLE1': 1.4774332117351139, 'XLE2': 3.0, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0017761215860532756, 'CHORD2_1': 0.20357443614935755, 'CHORD2_2': 0.08866264690255858, 'SSPAN1_2': 0.21488906261137494, 'SSPAN2_2': 0.3, 'fidelity': 1}"
35,31_0,objective,2.945,0.0,31,31_0,CD,0.475,0.0,31,31_0,XCP,0.5756585365853659,0.0,31,"{'XLE1': 1.3966199194601743, 'XLE2': 3.0, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0, 'CHORD2_1': 0.1963155033801866, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.22162701260077752, 'SSPAN2_2': 0.27122034391548205, 'fidelity': 1}"
36,32_0,objective,2.775,0.0,32,32_0,CD,0.459,0.0,32,32_0,XCP,0.5727317073170731,0.0,32,"{'XLE1': 1.25, 'XLE2': 3.0, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0, 'CHORD2_1': 0.27948792380826415, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.2038451957636429, 'SSPAN2_2': 0.24522988438553034, 'fidelity': 1}"
37,33_0,objective,2.819,0.0,33,33_0,CD,0.458,0.0,33,33_0,XCP,0.5895121951219513,0.0,33,"{'XLE1': 1.5552772250473603, 'XLE2': 3.1990773570327633, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0, 'CHORD2_1': 0.1, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.2156214811612117, 'SSPAN2_2': 0.3, 'fidelity': 1}"
38,34_0,objective,2.845,0.0,34,34_0,CD,0.436,0.0,34,34_0,XCP,0.5503414634146342,0.0,34,"{'XLE1': 1.554309393023773, 'XLE2': 3.2, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0, 'CHORD2_1': 0.21903701309784115, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.24425279474186443, 'SSPAN2_2': 0.1883043481321549, 'fidelity': 1}"
39,35_0,objective,2.876,0.0,35,35_0,CD,0.468,0.0,35,35_0,XCP,0.5753658536585367,0.0,35,"{'XLE1': 1.4694226800738202, 'XLE2': 3.2, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0, 'CHORD2_1': 0.1, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.23099124167853222, 'SSPAN2_2': 0.3, 'fidelity': 1}"
40,36_0,objective,2.609,0.0,36,36_0,CD,0.442,0.0,36,36_0,XCP,0.4822926829268293,0.0,36,"{'XLE1': 1.4021786171048176, 'XLE2': 3.2, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0, 'CHORD2_1': 0.3109411881975671, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.2636086128903328, 'SSPAN2_2': 0.181814431160559, 'fidelity': 1}"
41,37_0,objective,2.62,0.0,37,37_0,CD,0.431,0.0,37,37_0,XCP,0.5893658536585367,0.0,37,"{'XLE1': 1.75, 'XLE2': 3.0, 'CHORD1_1': 0.4, 'CHORD1_2': 0.09, 'CHORD2_1': 0.1, 'CHORD2_2': 0.23777255846954423, 'SSPAN1_2': 0.16677030273397384, 'SSPAN2_2': 0.3, 'fidelity': 1}"
42,38_0,objective,2.84,0.0,38,38_0,CD,0.458,0.0,38,38_0,XCP,0.565560975609756,0.0,38,"{'XLE1': 1.25, 'XLE2': 3.2, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0, 'CHORD2_1': 0.1, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.21399612184421968, 'SSPAN2_2': 0.3, 'fidelity': 1}"
43,39_0,objective,2.843,0.0,39,39_0,CD,0.462,0.0,39,39_0,XCP,0.5883414634146341,0.0,39,"{'XLE1': 1.5808623736143663, 'XLE2': 3.2, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0, 'CHORD2_1': 0.1, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.22283982232081412, 'SSPAN2_2': 0.3, 'fidelity': 1}"
44,40_0,objective,2.249,0.0,40,40_0,CD,0.358,0.0,40,40_0,XCP,0.404390243902439,0.0,40,"{'XLE1': 1.446479206799771, 'XLE2': 3.0, 'CHORD1_1': 0.4, 'CHORD1_2': 0.003908948493982807, 'CHORD2_1': 0.16641830665335058, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.26271420763685965, 'SSPAN2_2': 0.1281124595659358, 'fidelity': 0}"
